timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1649940923498,688,/signup-148,200,OK,Login/Signup Thread Group 1-1,text,false,Test failed: text expected not to contain /This user already exist/,737,484,1,15,https://api.demoblaze.com/signup,688,0,268
1649940924186,345,/signup-148,200,OK,Login/Signup Thread Group 1-1,text,false,Test failed: text expected not to contain /This user already exist/,571,483,1,22,https://api.demoblaze.com/signup,345,0,0
1649940924531,351,/signup-148,200,OK,Login/Signup Thread Group 1-1,text,false,Test failed: text expected not to contain /This user already exist/,630,483,1,22,https://api.demoblaze.com/signup,351,0,0
1649940924882,349,/signup-148,200,OK,Login/Signup Thread Group 1-1,text,false,Test failed: text expected not to contain /This user already exist/,703,483,1,22,https://api.demoblaze.com/signup,349,0,0
1649940925231,364,/signup-148,200,OK,Login/Signup Thread Group 1-1,text,false,Test failed: text expected not to contain /This user already exist/,686,483,1,23,https://api.demoblaze.com/signup,364,0,0
1649940925596,354,/login-98,200,OK,Login/Signup Thread Group 1-1,text,true,,614,485,1,23,https://api.demoblaze.com/login,354,0,0
1649940925950,397,/login-98,200,OK,Login/Signup Thread Group 1-1,text,true,,712,482,1,23,https://api.demoblaze.com/login,397,0,0
1649940926348,366,/login-98,200,OK,Login/Signup Thread Group 1-1,text,true,,559,482,1,23,https://api.demoblaze.com/login,366,0,0
1649940926715,377,/login-98,200,OK,Login/Signup Thread Group 1-1,text,true,,668,482,1,23,https://api.demoblaze.com/login,377,0,0
1649940927093,409,/login-98,200,OK,Login/Signup Thread Group 1-1,text,true,,710,482,1,24,https://api.demoblaze.com/login,408,0,0
1649940927502,363,invalid login,200,OK,Login/Signup Thread Group 1-1,text,false,Test failed: text expected to contain /Auth_token/,646,480,1,24,https://api.demoblaze.com/login,363,0,0
1649940927865,354,invalid login,200,OK,Login/Signup Thread Group 1-1,text,false,Test failed: text expected to contain /Auth_token/,634,480,1,24,https://api.demoblaze.com/login,354,0,0
1649940928220,349,invalid login,200,OK,Login/Signup Thread Group 1-1,text,false,Test failed: text expected to contain /Auth_token/,670,480,1,24,https://api.demoblaze.com/login,349,0,0
1649940928569,351,invalid login,200,OK,Login/Signup Thread Group 1-1,text,false,Test failed: text expected to contain /Auth_token/,612,480,1,24,https://api.demoblaze.com/login,351,0,0
1649940928920,353,invalid login,200,OK,Login/Signup Thread Group 1-1,text,false,Test failed: text expected to contain /Auth_token/,701,480,1,24,https://api.demoblaze.com/login,352,0,0
1649940923497,11313,Login to purchase flow Transaction Controller,200,"Number of samples in transaction : 27, number of failing samples : 0",Full Transaction Thread Group 2-1,,true,,55628,12993,6,26,null,0,5,880
1649940923498,996,/login-151,200,OK,Full Transaction Thread Group 2-1,text,true,,699,485,1,22,https://api.demoblaze.com/login,996,0,570
1649940924493,345,/view-202,200,OK,Full Transaction Thread Group 2-1,text,true,,855,452,1,22,https://api.demoblaze.com/view,345,0,0
1649940924838,388,/addtocart-205,200,OK,Full Transaction Thread Group 2-1,text,true,,331,544,1,22,https://api.demoblaze.com/addtocart,388,0,0
1649940925226,401,/addtocart-207,200,OK,Full Transaction Thread Group 2-1,text,true,,331,544,2,23,https://api.demoblaze.com/addtocart,401,0,0
1649940925628,620,/index.html-208,200,OK,Full Transaction Thread Group 2-1,text,true,,19926,517,2,23,https://www.demoblaze.com/index.html,560,0,310
1649940926248,374,/addtocart-258,200,OK,Full Transaction Thread Group 2-1,text,true,,331,545,2,23,https://api.demoblaze.com/addtocart,374,0,0
1649940926623,375,/addtocart-260,200,OK,Full Transaction Thread Group 2-1,text,true,,331,545,2,23,https://api.demoblaze.com/addtocart,375,0,0
1649940926998,179,/index.html-261,200,OK,Full Transaction Thread Group 2-1,text,true,,19926,518,2,23,https://www.demoblaze.com/index.html,176,0,0
1649940927177,395,/addtocart-314,200,OK,Full Transaction Thread Group 2-1,text,true,,331,545,3,24,https://api.demoblaze.com/addtocart,395,0,0
1649940927572,380,cart/viewcart-332,200,OK,Full Transaction Thread Group 2-1,text,true,,729,487,3,24,https://api.demoblaze.com/viewcart,380,0,0
1649940927952,370,cart/view-339,200,OK,Full Transaction Thread Group 2-1,text,true,,891,449,3,24,https://api.demoblaze.com/view,370,0,0
1649940928322,348,cart/view-340,200,OK,Full Transaction Thread Group 2-1,text,true,,841,450,3,24,https://api.demoblaze.com/view,348,0,0
1649940928670,348,cart/view-341,200,OK,Full Transaction Thread Group 2-1,text,true,,686,450,3,24,https://api.demoblaze.com/view,348,0,0
1649940929018,331,cart/view-342,200,OK,Full Transaction Thread Group 2-1,text,true,,876,449,3,23,https://api.demoblaze.com/view,331,0,0
1649940929349,350,cart/view-343,200,OK,Full Transaction Thread Group 2-1,text,true,,859,450,4,24,https://api.demoblaze.com/view,350,0,0
1649940929699,389,delete items/deleteitem-348,200,OK,Full Transaction Thread Group 2-1,text,true,,340,493,4,24,https://api.demoblaze.com/deleteitem,389,0,0
1649940930088,346,delete items/view-374,200,OK,Full Transaction Thread Group 2-1,text,true,,755,449,4,24,https://api.demoblaze.com/view,346,0,0
1649940930434,439,delete items/view-373,200,OK,Full Transaction Thread Group 2-1,text,true,,787,450,4,24,https://api.demoblaze.com/view,439,0,0
1649940930873,363,delete items/view-372,200,OK,Full Transaction Thread Group 2-1,text,true,,789,450,4,24,https://api.demoblaze.com/view,363,0,0
1649940931236,340,delete items/view-370,200,OK,Full Transaction Thread Group 2-1,text,true,,473,476,5,25,https://api.demoblaze.com/view,340,0,0
1649940931576,356,delete items/view-378,200,OK,Full Transaction Thread Group 2-1,text,true,,742,450,5,25,https://api.demoblaze.com/view,356,0,0
1649940931932,401,delete items/deleteitem-381,200,OK,Full Transaction Thread Group 2-1,text,true,,340,493,5,25,https://api.demoblaze.com/deleteitem,401,0,0
1649940932333,780,delete items/viewcart-400,200,OK,Full Transaction Thread Group 2-1,text,true,,745,487,5,25,https://api.demoblaze.com/viewcart,780,0,0
1649940933113,382,delete items/view-405,200,OK,Full Transaction Thread Group 2-1,text,true,,766,449,6,26,https://api.demoblaze.com/view,382,0,0
1649940933495,345,delete items/view-406,200,OK,Full Transaction Thread Group 2-1,text,true,,831,450,6,26,https://api.demoblaze.com/view,345,0,0
1649940933840,372,delete items/view-404,200,OK,Full Transaction Thread Group 2-1,text,true,,777,450,6,26,https://api.demoblaze.com/view,372,0,0
1649940934212,600,place order/deletecart-411,200,OK,Full Transaction Thread Group 2-1,text,true,,340,466,6,26,https://api.demoblaze.com/deletecart,600,0,0
1649940925491,12581,Login to purchase flow Transaction Controller,200,"Number of samples in transaction : 27, number of failing samples : 0",Full Transaction Thread Group 2-2,,true,,55350,12993,7,27,null,0,7,631
1649940925491,833,/login-151,200,OK,Full Transaction Thread Group 2-2,text,true,,502,485,2,23,https://api.demoblaze.com/login,833,0,361
1649940926324,350,/view-202,200,OK,Full Transaction Thread Group 2-2,text,true,,819,452,2,23,https://api.demoblaze.com/view,350,0,0
1649940926674,370,/addtocart-205,200,OK,Full Transaction Thread Group 2-2,text,true,,331,544,2,23,https://api.demoblaze.com/addtocart,370,0,0
1649940927044,371,/addtocart-207,200,OK,Full Transaction Thread Group 2-2,text,true,,331,544,2,23,https://api.demoblaze.com/addtocart,371,0,0
1649940927416,609,/index.html-208,200,OK,Full Transaction Thread Group 2-2,text,true,,19926,517,3,24,https://www.demoblaze.com/index.html,508,0,270
1649940928026,378,/addtocart-258,200,OK,Full Transaction Thread Group 2-2,text,true,,331,545,3,24,https://api.demoblaze.com/addtocart,378,0,0
1649940928405,372,/addtocart-260,200,OK,Full Transaction Thread Group 2-2,text,true,,331,545,3,24,https://api.demoblaze.com/addtocart,372,0,0
1649940928777,199,/index.html-261,200,OK,Full Transaction Thread Group 2-2,text,true,,19926,518,3,24,https://www.demoblaze.com/index.html,195,0,0
1649940928976,381,/addtocart-314,200,OK,Full Transaction Thread Group 2-2,text,true,,331,545,3,23,https://api.demoblaze.com/addtocart,381,0,0
1649940929357,372,cart/viewcart-332,200,OK,Full Transaction Thread Group 2-2,text,true,,786,487,4,24,https://api.demoblaze.com/viewcart,372,0,0
1649940929730,348,cart/view-339,200,OK,Full Transaction Thread Group 2-2,text,true,,681,449,4,24,https://api.demoblaze.com/view,348,0,0
1649940930078,363,cart/view-340,200,OK,Full Transaction Thread Group 2-2,text,true,,847,450,4,24,https://api.demoblaze.com/view,363,0,0
1649940930441,350,cart/view-341,200,OK,Full Transaction Thread Group 2-2,text,true,,781,450,4,24,https://api.demoblaze.com/view,350,0,0
1649940930791,413,cart/view-342,200,OK,Full Transaction Thread Group 2-2,text,true,,805,449,4,24,https://api.demoblaze.com/view,413,0,0
1649940931204,717,cart/view-343,200,OK,Full Transaction Thread Group 2-2,text,true,,771,450,5,25,https://api.demoblaze.com/view,717,0,0
1649940931921,392,delete items/deleteitem-348,200,OK,Full Transaction Thread Group 2-2,text,true,,340,493,5,25,https://api.demoblaze.com/deleteitem,392,0,0
1649940932313,399,delete items/view-374,200,OK,Full Transaction Thread Group 2-2,text,true,,826,449,5,25,https://api.demoblaze.com/view,399,0,0
1649940932712,374,delete items/view-373,200,OK,Full Transaction Thread Group 2-2,text,true,,855,450,5,25,https://api.demoblaze.com/view,374,0,0
1649940933086,803,delete items/view-372,200,OK,Full Transaction Thread Group 2-2,text,true,,775,450,6,26,https://api.demoblaze.com/view,803,0,0
1649940933889,368,delete items/view-370,200,OK,Full Transaction Thread Group 2-2,text,true,,473,476,6,26,https://api.demoblaze.com/view,368,0,0
1649940934256,362,delete items/view-378,200,OK,Full Transaction Thread Group 2-2,text,true,,710,450,6,26,https://api.demoblaze.com/view,362,0,0
1649940934619,383,delete items/deleteitem-381,200,OK,Full Transaction Thread Group 2-2,text,true,,657,493,5,25,https://api.demoblaze.com/deleteitem,382,0,0
1649940935002,1089,delete items/viewcart-400,200,OK,Full Transaction Thread Group 2-2,text,true,,559,487,6,26,https://api.demoblaze.com/viewcart,1088,0,0
1649940936091,349,delete items/view-405,200,OK,Full Transaction Thread Group 2-2,text,true,,742,449,6,26,https://api.demoblaze.com/view,349,0,0
1649940936441,762,delete items/view-406,200,OK,Full Transaction Thread Group 2-2,text,true,,748,450,6,26,https://api.demoblaze.com/view,762,0,0
1649940937203,357,delete items/view-404,200,OK,Full Transaction Thread Group 2-2,text,true,,826,450,7,27,https://api.demoblaze.com/view,356,0,0
1649940937560,517,place order/deletecart-411,200,OK,Full Transaction Thread Group 2-2,text,true,,340,466,7,27,https://api.demoblaze.com/deletecart,517,0,0
1649940927492,13023,Login to purchase flow Transaction Controller,200,"Number of samples in transaction : 27, number of failing samples : 0",Full Transaction Thread Group 2-3,,true,,25607,12993,7,27,null,0,7,553
1649940927493,726,/login-151,200,OK,Full Transaction Thread Group 2-3,text,true,,499,485,3,24,https://api.demoblaze.com/login,726,0,282
1649940928219,355,/view-202,200,OK,Full Transaction Thread Group 2-3,text,true,,682,452,3,24,https://api.demoblaze.com/view,355,0,0
1649940928575,369,/addtocart-205,200,OK,Full Transaction Thread Group 2-3,text,true,,331,544,3,24,https://api.demoblaze.com/addtocart,369,0,0
1649940928944,591,/addtocart-207,200,OK,Full Transaction Thread Group 2-3,text,true,,331,544,4,24,https://api.demoblaze.com/addtocart,591,0,0
1649940929535,483,/index.html-208,200,OK,Full Transaction Thread Group 2-3,text,true,,5094,517,4,24,https://www.demoblaze.com/index.html,482,0,271
1649940930018,740,/addtocart-258,200,OK,Full Transaction Thread Group 2-3,text,true,,331,545,4,24,https://api.demoblaze.com/addtocart,740,0,0
1649940930758,362,/addtocart-260,200,OK,Full Transaction Thread Group 2-3,text,true,,331,545,4,24,https://api.demoblaze.com/addtocart,362,0,0
1649940931120,141,/index.html-261,200,OK,Full Transaction Thread Group 2-3,text,true,,5198,518,4,24,https://www.demoblaze.com/index.html,140,0,0
1649940931261,385,/addtocart-314,200,OK,Full Transaction Thread Group 2-3,text,true,,331,545,5,25,https://api.demoblaze.com/addtocart,385,0,0
1649940931646,761,cart/viewcart-332,200,OK,Full Transaction Thread Group 2-3,text,true,,665,487,5,25,https://api.demoblaze.com/viewcart,761,0,0
1649940932408,355,cart/view-339,200,OK,Full Transaction Thread Group 2-3,text,true,,656,449,5,25,https://api.demoblaze.com/view,355,0,0
1649940932763,351,cart/view-340,200,OK,Full Transaction Thread Group 2-3,text,true,,888,450,5,25,https://api.demoblaze.com/view,351,0,0
1649940933115,381,cart/view-341,200,OK,Full Transaction Thread Group 2-3,text,true,,715,450,6,26,https://api.demoblaze.com/view,381,0,0
1649940933496,723,cart/view-342,200,OK,Full Transaction Thread Group 2-3,text,true,,663,449,6,26,https://api.demoblaze.com/view,723,0,0
1649940934218,377,cart/view-343,200,OK,Full Transaction Thread Group 2-3,text,true,,794,450,6,26,https://api.demoblaze.com/view,377,0,0
